1	The people they esey lon you are old and unfunny like the rest of your kind when will you gib up To that I esey Amigos I am as eserious as global warming If I gib up now who will save the planeta	Spain
2	RT climatestate MichaelEMann ClimateSignals The impacts of global warming are now playing out in realtime Mike Mann Penn State J	None
3	RT waniqui North American ice sheet disappearing due to global warming   via digitaljournal	None
4	RT DenCO56 cnnbrk Such a waste California officials know that the majority of these fires are the fault of sick individuals bent on des	None
5	RT urockthedesign AP Trump fiddles while California burns      I fear for our firefighters as global warming continues amp the fires con	Redding, CA
6	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	None
7	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	Oregon
8	RT mcnees If only scientists had clearly articulated a prediction of a significant warming trend across the globe  a sort of global war	None
9	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	None
10	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	None
11	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	Virginia
12	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	None
13	RT RyanMaue A prolonged heat wave envelopes much of the northern hemisphere  Unprecedented heat  Extreme weather must spur action ag	Burlington, VT
14	RT seavoicenews Another study has found the lifeordeath importance of meeting the Paris Agreement	TESLA in NY
15	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	Ottawa, Ontario
16	RT DerekCressman We are creating hell on Earth   Greenhouse gas emissions kill   Global warming is real  People are contributing to th	Kansas City, MO
17	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	Silver Spring, MD
18	RT incorrectjoon joon girls are hot   joon guys are hot too   joon y is everyone hot    yoongi global warming	None
19	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	None
20	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	Albuquerque NM
21	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	North Carolina, USA
22	The extreme heatwaves and wildfires wreaking havoc around the globe are the face of climate change one of the worlds leading climate scientists has declared with the impacts of global warming now playing out in real time	None
23	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	brampton, ontario
24	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	Albuquerque, NM
25	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	Myers Flat, California Heart of the Redwoods North Coast
26	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	Connecticut, USA
27	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	Montana, USA
28	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	Bedford
29	RT spectatorindex IMAGE Sculpture of 'Politicians discussing global warming' in Berlin  Credit Isaac Cordal	Remedios de Escalada.
30	Global Warming Global Warming bo Blobal Warming  Banana fana for Flobal Warming  Fi fi mo Global Warming  Global Warming	None
31	RT GeorgeMonbiot This is after 1 degree of global warming How will it look after 3 or 4  climatebreakdown article by ArthurNeslen htt	Ayr, European Union 🇪🇺🇬🇧
32	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	None
33	RT DerekCressman We are creating hell on Earth   Greenhouse gas emissions kill   Global warming is real  People are contributing to th	Iowa, USA
34	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	Texas, USA
35	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	New Port Richey, FL
36	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	Tujunga, Los Angeles
37	The people they esey lon you are old and unfunny like the rest of your kind when will you gib up To that I esey Amigos I am as eserious as global warming If I gib up now who will eseib the planeta	Spain
38	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	Cape Cod
39	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	SF Bay Area
40	RT spectatorindex IMAGE Sculpture of 'Politicians discussing global warming' in Berlin  Credit Isaac Cordal	None
41	RT spectatorindex IMAGE Sculpture of 'Politicians discussing global warming' in Berlin  Credit Isaac Cordal	None
42	abadeeel Unfortunately the people who have the least means and have done the least damage to the atmosphere are the ones who are effected the most by global warming	New Jersey, USA
43	RT DerekCressman We are creating hell on Earth   Greenhouse gas emissions kill   Global warming is real  People are contributing to th	NorthTexas, USA
44	RT UROCKlive1 AP Trump fiddles while California burns      I fear for our firefighters as global warming continues amp the fires contin	Redding, CA
45	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	Ft. Lauderdale
46	RT incorrectjoon joon girls are hot   joon guys are hot too   joon y is everyone hot    yoongi global warming	Los Angeles, CA
47	RT mcnees If only scientists had clearly articulated a prediction of a significant warming trend across the globe  a sort of global war	Situation
48	RT RyanMaue A prolonged heat wave envelopes much of the northern hemisphere  Unprecedented heat  Extreme weather must spur action ag	Vermont, USA
49	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	Texas, USA
50	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	None
51	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	United States
52	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	Oregon, USA
53	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	None
54	RT DerekCressman We are creating hell on Earth   Greenhouse gas emissions kill   Global warming is real  People are contributing to th	Oregon, USA
55	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	Oregon, USA
56	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	Nashville, TN
57	RT DerekCressman Things are bad in California and the Western US  Things are worse now in Greece   Global warming is killing people aro	Washington, USA
58	RT DenCO56 cnnbrk Such a waste California officials know that the majority of these fires are the fault of sick individuals bent on des	None
